Total Business Value,Emp_ID,Age,Gender,City,Education_Level,Salary,Joining Designation,Designation,Quarterly Rating,Target
1715580,1,28,1,15,2,57387,1,1,2,1
0,2,31,1,26,2,67016,2,2,1,0
350000,4,43,1,4,2,65603,2,2,1,1
120360,5,29,1,28,1,46368,1,1,1,1
1265000,6,31,0,2,0,78728,3,3,2,0
0,8,34,1,11,1,70656,3,3,1,1
0,11,28,0,10,2,42172,1,1,1,0
2607180,12,35,1,15,2,28116,1,1,1,1
10213040,13,31,1,10,2,119227,1,4,1,1
0,14,39,0,18,1,19734,3,3,1,0
346800,16,30,0,15,1,52963,2,2,1,1
1017640,17,43,1,12,2,51099,1,1,1,1
0,18,27,0,8,0,31631,1,1,1,1
0,20,26,0,10,1,40342,3,3,1,1
6962550,21,34,0,21,0,22755,1,1,1,1
7539490,22,41,1,1,2,31224,1,1,1,1
4101720,24,31,1,16,2,76308,1,2,2,1
36351110,25,31,1,16,0,102077,1,3,4,0
69867900,26,43,1,5,2,132577,1,4,2,0
1273170,29,30,1,4,2,30312,1,1,1,1
0,30,31,1,25,0,69457,3,3,1,1
950940,31,32,0,20,2,65189,3,3,2,0
476010,34,28,0,5,0,65813,2,2,1,1
300000,35,32,1,24,0,68070,3,3,1,1
4277730,36,41,0,9,0,32865,2,2,2,1
650020,37,33,0,5,0,57375,2,2,1,1
0,38,22,1,19,1,13427,1,1,1,1
2422230,39,32,1,18,1,72888,2,2,2,0
0,40,32,1,6,1,59182,2,2,1,1
21755910,41,35,1,21,2,92372,4,4,2,0
994690,42,44,0,20,1,45988,2,2,1,1
359890,43,27,0,6,1,12906,1,1,1,1
150110,44,28,1,8,2,62100,1,1,1,1
5227340,45,35,1,27,2,77544,3,3,3,0
338290,46,36,0,17,2,42171,1,1,1,1
866270,47,30,1,13,0,28000,1,1,2,0
1798800,49,22,1,12,1,53039,1,2,1,1
110310,50,49,0,24,1,89367,3,3,1,1
3190010,51,34,1,5,1,131347,4,4,2,1
1852590,52,37,1,10,1,48687,3,3,2,0
33823290,54,35,1,21,0,127826,4,5,1,0
0,55,30,0,27,1,29985,1,1,1,1
11723470,56,36,0,10,2,80223,1,1,4,0
22791310,57,38,0,0,0,84318,1,2,1,1
0,58,41,1,23,1,57987,2,2,1,1
134660,59,35,0,9,0,31644,1,1,1,1
49225520,60,48,0,12,1,89592,1,4,2,0
-439300,61,32,1,2,2,19818,1,1,1,1
0,62,27,1,28,2,62376,1,1,1,0
12293120,63,28,1,25,1,93931,1,3,2,0
193940,64,33,1,19,2,66502,2,2,1,1
11718580,65,30,0,26,0,69539,2,2,2,1
0,66,27,0,23,2,104286,3,3,1,0
12543500,67,41,1,20,2,65982,1,2,3,0
27309820,68,32,1,21,1,79288,1,3,3,0
4640080,69,32,0,26,0,64604,2,2,1,1
0,70,35,1,12,0,19235,1,1,1,1
188780,71,43,1,12,2,54103,3,3,1,1
193580,72,28,1,5,2,42242,2,2,1,0
592270,74,35,0,24,2,59216,2,2,1,1
2365930,75,25,0,9,2,39884,2,2,2,1
17959920,77,34,1,22,2,63918,1,2,3,0
43531510,78,37,1,13,1,105946,2,4,2,0
0,79,32,1,5,0,114648,4,4,1,1
153300,80,29,0,26,1,56687,2,2,1,0
3133680,81,39,1,28,2,77177,1,2,1,1
0,82,37,0,16,0,89013,3,3,1,1
750000,83,34,1,15,2,115159,3,3,1,1
